latitude,longitude,event_date,day_offset,precip_mm,temp_max_c,fuel_moist_100hr_pct,burning_index,vpd_kpa
37.4727699990888,-108.7871,2016-05-10,-38,0.0,18.25,9.4,45.0,0.96
37.4727699990888,-108.7871,2016-05-10,-37,0.0,19.350000000000023,8.8,42.0,1.09
37.4727699990888,-108.7871,2016-05-10,-36,0.0,19.05000000000001,8.7,64.0,1.04
37.4727699990888,-108.7871,2016-05-10,-35,0.0,19.15000000000003,8.2,61.0,0.95
37.4727699990888,-108.7871,2016-05-10,-34,0.0,21.75,8.2,0.0,1.11
37.4727699990888,-108.7871,2016-05-10,-33,4.3,16.55000000000001,9.3,0.0,0.68
37.4727699990888,-108.7871,2016-05-10,-32,0.8,15.350000000000025,10.2,46.0,0.74
37.4727699990888,-108.7871,2016-05-10,-31,0.0,16.450000000000045,10.3,40.0,0.72
37.4727699990888,-108.7871,2016-05-10,-30,0.0,15.450000000000044,10.4,38.0,0.65
37.4727699990888,-108.7871,2016-05-10,-29,0.9,14.850000000000025,10.5,0.0,0.61
37.4727699990888,-108.7871,2016-05-10,-28,0.0,18.65000000000003,10.2,42.0,0.86
37.4727699990888,-108.7871,2016-05-10,-27,0.0,19.15000000000003,10.0,62.0,0.97
37.4727699990888,-108.7871,2016-05-10,-26,4.1,11.850000000000025,11.0,0.0,0.51
37.4727699990888,-108.7871,2016-05-10,-25,2.0,6.050000000000011,12.3,0.0,0.29
37.4727699990888,-108.7871,2016-05-10,-24,0.0,7.650000000000034,13.4,0.0,0.31
37.4727699990888,-108.7871,2016-05-10,-23,0.0,8.950000000000045,13.6,43.0,0.38
37.4727699990888,-108.7871,2016-05-10,-22,0.0,11.650000000000034,13.1,38.0,0.45
37.4727699990888,-108.7871,2016-05-10,-21,0.0,19.15000000000003,11.4,43.0,1.0
37.4727699990888,-108.7871,2016-05-10,-20,0.0,21.05000000000001,9.9,47.0,1.19
37.4727699990888,-108.7871,2016-05-10,-19,0.0,23.850000000000023,8.8,69.0,1.54
37.4727699990888,-108.7871,2016-05-10,-18,0.0,18.350000000000023,8.6,78.0,0.98
37.4727699990888,-108.7871,2016-05-10,-17,0.0,16.25,8.2,50.0,0.86
37.4727699990888,-108.7871,2016-05-10,-16,0.0,14.850000000000025,8.7,75.0,0.63
37.4727699990888,-108.7871,2016-05-10,-15,0.0,8.150000000000034,10.8,0.0,0.24
37.4727699990888,-108.7871,2016-05-10,-14,1.7,12.850000000000025,11.5,0.0,0.53
37.4727699990888,-108.7871,2016-05-10,-13,0.0,12.050000000000011,11.1,55.0,0.5
37.4727699990888,-108.7871,2016-05-10,-12,1.2,10.550000000000011,11.5,0.0,0.38
37.4727699990888,-108.7871,2016-05-10,-11,2.0,12.950000000000044,11.9,0.0,0.51
37.4727699990888,-108.7871,2016-05-10,-10,5.1,9.650000000000034,13.3,0.0,0.32
37.4727699990888,-108.7871,2016-05-10,-9,0.0,13.950000000000044,12.9,40.0,0.57
37.4727699990888,-108.7871,2016-05-10,-8,0.0,20.55000000000001,11.2,47.0,1.02
37.4727699990888,-108.7871,2016-05-10,-7,0.0,22.15000000000003,9.9,56.0,1.2
37.4727699990888,-108.7871,2016-05-10,-6,0.0,24.850000000000023,8.8,66.0,1.59
37.4727699990888,-108.7871,2016-05-10,-5,0.0,21.75,8.5,70.0,1.21
37.4727699990888,-108.7871,2016-05-10,-4,1.2,12.050000000000011,9.1,0.0,0.52
37.4727699990888,-108.7871,2016-05-10,-3,9.5,14.150000000000034,12.4,0.0,0.43
37.4727699990888,-108.7871,2016-05-10,-2,2.2,18.75,12.2,0.0,0.82
37.4727699990888,-108.7871,2016-05-10,-1,2.6,16.450000000000045,12.8,0.0,0.82
40.2315999990696,-120.4917,2019-07-23,-60,4.5,15.550000000000011,15.2,0.0,0.64
40.2315999990696,-120.4917,2019-07-23,-59,7.6,11.350000000000025,16.0,0.0,0.49
40.2315999990696,-120.4917,2019-07-23,-58,4.8,15.450000000000044,16.0,0.0,0.63
40.2315999990696,-120.4917,2019-07-23,-57,0.8,17.05000000000001,14.5,0.0,0.71
40.2315999990696,-120.4917,2019-07-23,-56,4.0,20.05000000000001,14.2,0.0,0.93
40.2315999990696,-120.4917,2019-07-23,-55,9.6,15.150000000000034,16.7,0.0,0.48
40.2315999990696,-120.4917,2019-07-23,-54,2.0,19.55000000000001,16.1,0.0,0.78
40.2315999990696,-120.4917,2019-07-23,-53,0.0,21.450000000000045,14.1,29.0,0.98
40.2315999990696,-120.4917,2019-07-23,-52,0.6,23.25,12.9,0.0,1.14
40.2315999990696,-120.4917,2019-07-23,-51,2.3,26.350000000000023,13.2,0.0,1.31
40.2315999990696,-120.4917,2019-07-23,-50,0.0,27.25,11.5,30.0,1.54
40.2315999990696,-120.4917,2019-07-23,-49,0.0,28.850000000000023,10.1,37.0,1.8
40.2315999990696,-120.4917,2019-07-23,-48,0.0,23.05000000000001,9.7,52.0,1.12
40.2315999990696,-120.4917,2019-07-23,-47,0.0,14.75,9.6,40.0,0.66
40.2315999990696,-120.4917,2019-07-23,-46,0.0,17.25,8.9,55.0,0.89
40.2315999990696,-120.4917,2019-07-23,-45,0.0,22.350000000000023,8.2,56.0,1.25
40.2315999990696,-120.4917,2019-07-23,-44,0.0,27.05000000000001,7.9,38.0,1.62
40.2315999990696,-120.4917,2019-07-23,-43,0.0,29.950000000000045,7.5,38.0,1.93
40.2315999990696,-120.4917,2019-07-23,-42,0.5,26.450000000000045,7.7,0.0,1.56
40.2315999990696,-120.4917,2019-07-23,-41,0.0,26.75,7.8,42.0,1.48
40.2315999990696,-120.4917,2019-07-23,-40,0.0,27.65000000000003,7.6,39.0,1.67
40.2315999990696,-120.4917,2019-07-23,-39,0.0,28.15000000000003,7.3,43.0,1.8
40.2315999990696,-120.4917,2019-07-23,-38,0.0,27.950000000000045,6.9,43.0,1.86
40.2315999990696,-120.4917,2019-07-23,-37,0.0,28.75,6.7,50.0,1.9
40.2315999990696,-120.4917,2019-07-23,-36,0.0,27.850000000000023,6.5,47.0,1.85
40.2315999990696,-120.4917,2019-07-23,-35,0.0,29.350000000000023,6.3,51.0,2.03
40.2315999990696,-120.4917,2019-07-23,-34,0.0,23.05000000000001,6.5,57.0,1.28
40.2315999990696,-120.4917,2019-07-23,-33,0.0,19.65000000000003,6.7,57.0,1.05
40.2315999990696,-120.4917,2019-07-23,-32,0.0,21.350000000000023,6.7,60.0,1.18
40.2315999990696,-120.4917,2019-07-23,-31,0.0,26.55000000000001,6.7,52.0,1.59
40.2315999990696,-120.4917,2019-07-23,-30,0.0,25.25,6.8,57.0,1.46
40.2315999990696,-120.4917,2019-07-23,-29,0.0,23.25,6.9,68.0,1.3
40.2315999990696,-120.4917,2019-07-23,-28,0.0,20.75,7.4,72.0,1.02
40.2315999990696,-120.4917,2019-07-23,-27,0.0,19.75,7.2,63.0,1.08
40.2315999990696,-120.4917,2019-07-23,-26,0.0,21.350000000000023,7.2,60.0,1.16
40.2315999990696,-120.4917,2019-07-23,-25,0.0,24.55000000000001,7.0,53.0,1.42
40.2315999990696,-120.4917,2019-07-23,-24,0.0,24.950000000000045,7.0,56.0,1.45
40.2315999990696,-120.4917,2019-07-23,-23,0.0,24.950000000000045,7.4,64.0,1.35
40.2315999990696,-120.4917,2019-07-23,-22,0.0,24.850000000000023,7.5,56.0,1.35
40.2315999990696,-120.4917,2019-07-23,-21,0.0,24.15000000000003,7.3,56.0,1.42
40.2315999990696,-120.4917,2019-07-23,-20,0.0,24.15000000000003,7.2,49.0,1.39
40.2315999990696,-120.4917,2019-07-23,-19,0.0,28.850000000000023,6.9,52.0,1.87
40.2315999990696,-120.4917,2019-07-23,-18,0.0,27.850000000000023,6.9,60.0,1.71
40.2315999990696,-120.4917,2019-07-23,-17,0.0,25.450000000000045,7.0,58.0,1.49
40.2315999990696,-120.4917,2019-07-23,-16,0.0,25.850000000000023,7.1,72.0,1.49
40.2315999990696,-120.4917,2019-07-23,-15,0.0,26.65000000000003,7.1,66.0,1.58
40.2315999990696,-120.4917,2019-07-23,-14,0.0,28.15000000000003,7.2,70.0,1.7
40.2315999990696,-120.4917,2019-07-23,-13,0.0,30.350000000000023,7.2,59.0,1.94
40.2315999990696,-120.4917,2019-07-23,-12,0.0,31.05000000000001,7.2,58.0,2.01
40.2315999990696,-120.4917,2019-07-23,-11,0.0,30.75,7.3,65.0,1.98
40.2315999990696,-120.4917,2019-07-23,-10,0.0,29.450000000000045,7.2,70.0,1.88
40.2315999990696,-120.4917,2019-07-23,-9,0.0,28.850000000000023,7.1,66.0,1.81
40.2315999990696,-120.4917,2019-07-23,-8,0.0,28.450000000000045,7.2,57.0,1.75
